reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R05310(r)/1.3.1A1(rev)/1.3.1.60;	1/1.3.1A1(rev);	0.425331	0.777778	0.5625	0.442623	0.42	0.405405	0.412935	0.405172	0.421053
R06562/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.422348	1	0.692308	0.5	0.434783	0.426471	0.418367	0.38843	0.378378
R05310(r)/1.3.1A1(rev)/1.3.1.60;	1/1.3.1A1(rev);	0.421301	0.777778	0.5625	0.442623	0.405941	0.395973	0.405941	0.405172	0.421053
R05310(r)/1.3.1A1(rev)/1.3.1.60;	1/1.3.1A1(rev);	0.421301	0.777778	0.5625	0.442623	0.405941	0.395973	0.405941	0.405172	0.421053
R02954(r)/1.3.1A2(rev)/1.3.1.46;	1/1.3.1A1(rev);	0.420755	1	0.692308	0.5	0.434783	0.426471	0.418367	0.385246	0.375839
R02954(r)/1.3.1A2(rev)/1.3.1.46;	1/1.3.1A1(rev);	0.420755	1	0.692308	0.5	0.434783	0.426471	0.418367	0.385246	0.375839
R03850(r)/1.3.1A2(rev)/1.3.1.3;	1/1.3.1A1(rev);	0.417603	1	0.692308	0.5	0.47619	0.453125	0.427083	0.385246	0.343558
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.41635	0.777778	0.533333	0.444444	0.44186	0.467742	0.450549	0.394958	0.35
R02841(r)/1.3.1A2(rev)/1.3.1.3;	1/1.3.1A1(rev);	0.41527	1	0.692308	0.5	0.47619	0.453125	0.427083	0.385246	0.337349
R02892,R02893(r)/1.3.1A2(rev)/1.3.1.22,1.3.1.3;	1/1.3.1A1(rev);	0.41527	1	0.692308	0.5	0.47619	0.453125	0.427083	0.385246	0.337349
R03713(r)/1.3.1A2(rev)/1.3.1.3;	1/1.3.1A1(rev);	0.41527	1	0.692308	0.5	0.47619	0.453125	0.427083	0.385246	0.337349
R04151(r)/1.3.1A1(rev)/1.3.1.49;	1/1.3.1A1(rev);	0.413208	0.777778	0.470588	0.375	0.372549	0.39726	0.401961	0.408696	0.427481
R04151(r)/1.3.1A1(rev)/1.3.1.49;	1/1.3.1A1(rev);	0.413208	0.777778	0.470588	0.375	0.372549	0.39726	0.401961	0.408696	0.427481
R04817(r)/1.3.1A2(rev)/1.3.1.3;	1/1.3.1A1(rev);	0.4122	1	0.692308	0.5	0.465116	0.446154	0.414141	0.376	0.345679
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.411985	0.777778	0.533333	0.438596	0.402062	0.402778	0.401961	0.398305	0.397163
R02954(r)/1.3.1A2(rev)/1.3.1.46;	1/1.3.1A1(rev);	0.408922	0.777778	0.533333	0.454545	0.419355	0.408451	0.401961	0.391667	0.380952
R06563/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.408425	1	0.692308	0.5	0.425532	0.414286	0.405941	0.376	0.358974
R06563/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.408425	1	0.692308	0.5	0.425532	0.414286	0.405941	0.376	0.358974
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.408163	0.777778	0.5	0.423729	0.393939	0.391892	0.401961	0.398305	0.397163
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.408163	0.777778	0.5	0.423729	0.393939	0.391892	0.401961	0.398305	0.397163
R04823(r)/1.3.1A2(rev)/1.3.1.3;	1/1.3.1A1(rev);	0.405455	1	0.692308	0.5	0.465116	0.446154	0.41	0.370079	0.333333
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.403255	1	0.692308	0.5	0.434783	0.42029	0.405941	0.367188	0.345679
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.403255	1	0.692308	0.5	0.434783	0.42029	0.405941	0.367188	0.345679
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.403255	1	0.692308	0.5	0.434783	0.42029	0.405941	0.367188	0.345679
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.403255	1	0.692308	0.5	0.434783	0.42029	0.405941	0.367188	0.345679
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.403255	1	0.692308	0.5	0.434783	0.42029	0.405941	0.367188	0.345679
R06562/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.40146	0.777778	0.533333	0.438596	0.402062	0.39726	0.394231	0.385246	0.378378
R06562/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.397112	0.777778	0.5	0.423729	0.393939	0.386667	0.390476	0.385246	0.378378
R06562/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.397112	0.777778	0.5	0.423729	0.393939	0.386667	0.390476	0.385246	0.378378
R06563/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.390764	0.777778	0.533333	0.438596	0.402062	0.391892	0.383178	0.373016	0.36129
R06563/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.386643	0.777778	0.5	0.423729	0.393939	0.381579	0.37963	0.373016	0.36129
R00919/1.3.1A2/1.3.1.84;	1/1.3.1A1(rev);	0.371742	1	0.666667	0.6	0.391304	0.32	0.304348	0.333333	0.333333
R10161/1.3.1A1/1.3.1.95;	1/1.3.1A1(rev);	0.371742	1	0.666667	0.6	0.391304	0.32	0.304348	0.333333	0.333333
R01171/1.3.1A1/1.3.1.44;	1/1.3.1A1(rev);	0.369272	1	0.68	0.609756	0.4	0.307692	0.3	0.329114	0.329787
R09738/1.3.1A2/1.3.1.86;	1/1.3.1A1(rev);	0.369272	1	0.68	0.609756	0.4	0.307692	0.3	0.329114	0.329787
R10828/1.3.1A2/1.3.1.93;	1/1.3.1A1(rev);	0.363758	1	0.615385	0.571429	0.380282	0.307692	0.3	0.329114	0.329787
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.361842	0.777778	0.533333	0.423729	0.386139	0.376623	0.359649	0.338129	0.321839
R06985(r)/1.3.1A2/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.360313	1	0.68	0.581395	0.39726	0.308411	0.287671	0.317073	0.322917
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.355987	0.777778	0.5	0.423729	0.386139	0.367089	0.353448	0.330986	0.318182
R07747,R07751/1.3.1A2(rev)/1.3.1.45;	1/1.3.1A1(rev);	0.355987	0.777778	0.5	0.423729	0.386139	0.367089	0.353448	0.330986	0.318182
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.353796	0.777778	0.5	0.4	0.372549	0.371795	0.356522	0.328671	0.316384
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.353796	0.777778	0.5	0.4	0.372549	0.371795	0.356522	0.328671	0.316384
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.353796	0.777778	0.5	0.4	0.372549	0.371795	0.356522	0.328671	0.316384
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.353796	0.777778	0.5	0.4	0.372549	0.371795	0.356522	0.328671	0.316384
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.353796	0.777778	0.5	0.4	0.372549	0.371795	0.356522	0.328671	0.316384
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.353796	0.777778	0.5	0.4	0.372549	0.371795	0.356522	0.328671	0.316384
R03776/1.3.1A2/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.352941	1	0.68	0.581395	0.39726	0.302752	0.28	0.309524	0.313131
R05311/1.3.1A1/1.3.1.62;	1/1.3.1A1(rev);	0.350254	1	0.68	0.581395	0.39726	0.302752	0.276316	0.305882	0.31
R03856/1.3.1A2/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.350254	1	0.68	0.581395	0.39726	0.302752	0.28	0.305882	0.306931
R01278/1.3.1A2/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.350254	1	0.68	0.581395	0.39726	0.302752	0.28	0.305882	0.306931
R03989/1.3.1A2/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.350254	1	0.68	0.581395	0.39726	0.302752	0.28	0.305882	0.306931
R04753/1.3.1A2/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.350254	1	0.68	0.581395	0.39726	0.302752	0.28	0.305882	0.306931
R07761(r)/1.3.1A2/1.3.1.38,1.3.1.93;	1/1.3.1A1(rev);	0.350254	1	0.68	0.581395	0.39726	0.302752	0.28	0.305882	0.306931
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.325409	0.777778	0.470588	0.375	0.365385	0.371795	0.347458	0.301282	0.265403
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.325409	0.777778	0.470588	0.375	0.365385	0.371795	0.347458	0.301282	0.265403
R04429/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.319783	1	0.68	0.534884	0.297297	0.25	0.26087	0.285714	0.282609
R04430/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.319783	1	0.68	0.534884	0.297297	0.25	0.26087	0.285714	0.282609
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.314655	0.777778	0.470588	0.352941	0.322034	0.322222	0.308271	0.291925	0.290155
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.314655	0.777778	0.470588	0.352941	0.322034	0.322222	0.308271	0.291925	0.290155
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.314655	0.777778	0.470588	0.352941	0.322034	0.322222	0.308271	0.291925	0.290155
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.314655	0.777778	0.470588	0.352941	0.322034	0.322222	0.308271	0.291925	0.290155
R09162(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.314655	0.777778	0.470588	0.352941	0.322034	0.322222	0.308271	0.291925	0.290155
R01404/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39;	1/1.3.1A1(rev);	0.31444	1	0.615385	0.5	0.28	0.25	0.26087	0.285714	0.282609
R01403/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.31444	1	0.615385	0.5	0.28	0.25	0.26087	0.285714	0.282609
R01689/1.3.1A1/1.3.1.31;	1/1.3.1A1(rev);	0.313352	1	0.555556	0.422222	0.314286	0.254902	0.264706	0.285714	0.282609
R04955/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.313158	1	0.68	0.511111	0.298701	0.252336	0.25	0.275	0.27957
R04956/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.313158	1	0.68	0.511111	0.298701	0.252336	0.25	0.275	0.27957
R10118(r)/1.3.1A2/1.3.1.10;	1/1.3.1A1(rev);	0.311054	1	0.68	0.511111	0.307692	0.266055	0.251701	0.26506	0.270833
R10418/1.3.1A2/1.3.1.103;	1/1.3.1A1(rev);	0.308005	1	0.5	0.375	0.287671	0.265306	0.264706	0.285714	0.282609
R01451(r)/1.3.1A1(rev)/1.3.1.21;	1/1.3.1A1(rev);	0.307584	0.777778	0.533333	0.387097	0.333333	0.333333	0.312977	0.281437	0.260465
R01456(r)/1.3.1A2(rev)/1.3.1.21;	1/1.3.1A1(rev);	0.307584	0.777778	0.533333	0.387097	0.333333	0.333333	0.312977	0.281437	0.260465
R04958/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.306701	1	0.68	0.511111	0.298701	0.247706	0.243243	0.268293	0.270833
R04959/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.306701	1	0.68	0.511111	0.298701	0.247706	0.243243	0.268293	0.270833
R02463/1.3.1A2/1.3.1.27;	1/1.3.1A1(rev);	0.306069	1	0.6	0.44186	0.323944	0.257143	0.25	0.271605	0.270833
R00402/1.3.1A1/1.3.1.6;	1/1.3.1A1(rev);	0.30504	1	0.555556	0.387755	0.297297	0.245283	0.25	0.285714	0.282609
R04724/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04725/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04961/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04962/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R07765(r)/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04966/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04967/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04969/1.3.1A1/1.3.1.9;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R04970/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.304348	1	0.68	0.511111	0.298701	0.247706	0.243243	0.26506	0.265306
R11426,R11427(r)/1.3.1A8(rev)/1.3.1.112;	1/1.3.1A1(rev);	0.303694	0.571429	0.361702	0.287356	0.285714	0.284314	0.292857	0.299363	0.309392
R10122(r)/1.3.1A2/1.3.1.10;	1/1.3.1A1(rev);	0.302799	1	0.68	0.511111	0.298701	0.247706	0.24	0.261905	0.265306
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.29918	0.777778	0.470588	0.363636	0.339286	0.333333	0.310606	0.276471	0.245614
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.29918	0.777778	0.470588	0.363636	0.339286	0.333333	0.310606	0.276471	0.245614
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.29918	0.777778	0.470588	0.363636	0.339286	0.333333	0.310606	0.276471	0.245614
R09183(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.29918	0.777778	0.470588	0.363636	0.339286	0.333333	0.310606	0.276471	0.245614
R02988/1.3.1A1/1.3.1.32;	1/1.3.1A1(rev);	0.295455	1	0.555556	0.372549	0.3	0.245614	0.24	0.271605	0.270833
R02989/1.3.1A2/1.3.1.32;	1/1.3.1A1(rev);	0.295455	1	0.555556	0.372549	0.3	0.245614	0.24	0.271605	0.270833
R03900/1.3.1A2/1.3.1.16;	1/1.3.1A1(rev);	0.294737	0.777778	0.448276	0.36	0.28	0.245283	0.25	0.285714	0.282609
R09224(r)/1.3.1A1/1.3.1.32;	1/1.3.1A1(rev);	0.292929	1	0.555556	0.387755	0.298701	0.238938	0.236842	0.26506	0.270833
R02544/1.3.1A1/1.3.1.7;	1/1.3.1A1(rev);	0.291878	1	0.483871	0.333333	0.25	0.22807	0.25	0.285714	0.282609
R10593/1.3.1A2/1.3.1.105;	1/1.3.1A1(rev);	0.283619	1	0.555556	0.358491	0.252747	0.209302	0.227848	0.275	0.282609
R00977/1.3.1A1/1.3.1.1;	1/1.3.1A1(rev);	0.28269	1	0.5	0.36	0.247059	0.216667	0.230769	0.268293	0.282609
R00978/1.3.1A2/1.3.1.2;	1/1.3.1A1(rev);	0.28269	1	0.5	0.36	0.247059	0.216667	0.230769	0.268293	0.282609
R00814/1.3.1A2/1.3.1.20;	1/1.3.1A1(rev);	0.282367	0.777778	0.4375	0.321429	0.285714	0.230769	0.230769	0.271605	0.27957
R00812/1.3.1A1/1.3.1.19;	1/1.3.1A1(rev);	0.282367	0.777778	0.4375	0.321429	0.285714	0.230769	0.230769	0.271605	0.27957
R06541(r)/1.3.1A8(rev)/1.3.1.77;	1/1.3.1A1(rev);	0.278894	0.571429	0.361702	0.280899	0.273973	0.268519	0.269737	0.267045	0.273171
R06541(r)/1.3.1A8(rev)/1.3.1.77;	1/1.3.1A1(rev);	0.278894	0.571429	0.361702	0.280899	0.273973	0.268519	0.269737	0.267045	0.273171
R01414/1.3.1A1/1.3.1.1;	1/1.3.1A1(rev);	0.277108	1	0.517241	0.358491	0.244444	0.209677	0.219512	0.261905	0.27957
R01415/1.3.1A2/1.3.1.2;	1/1.3.1A1(rev);	0.277108	1	0.517241	0.358491	0.244444	0.209677	0.219512	0.261905	0.27957
R11026/1.3.1A1/1.3.1.1;	1/1.3.1A1(rev);	0.277108	1	0.517241	0.358491	0.244444	0.209677	0.219512	0.261905	0.27957
R06286(r)/1.3.1A2(rev)/1.3.1.33;	1/1.3.1A1(rev);	0.275472	0.777778	0.5	0.387097	0.358491	0.337209	0.308271	0.246073	0.202899
R03845(r)/1.3.1A2(rev)/1.3.1.33;	1/1.3.1A1(rev);	0.275472	0.777778	0.5	0.387097	0.358491	0.337209	0.308271	0.246073	0.202899
R06542(r)/1.3.1A8(rev)/1.3.1.77;	1/1.3.1A1(rev);	0.274752	0.571429	0.361702	0.280899	0.273973	0.266055	0.266234	0.261111	0.266667
R06542(r)/1.3.1A8(rev)/1.3.1.77;	1/1.3.1A1(rev);	0.274752	0.571429	0.361702	0.280899	0.273973	0.266055	0.266234	0.261111	0.266667
R04088/1.3.1A1/1.3.1.19;	1/1.3.1A1(rev);	0.27381	0.777778	0.411765	0.3	0.266667	0.229508	0.225	0.261905	0.276596
R08105/1.3.1A1/;	1/1.3.1A1(rev);	0.273596	0.777778	0.4375	0.310345	0.272727	0.219512	0.219512	0.261905	0.27957
R08226(r)/1.3.1A2/1.3.1.2;	1/1.3.1A1(rev);	0.272509	1	0.466667	0.333333	0.230769	0.209677	0.219512	0.261905	0.27957
R06857/1.3.1A1/1.3.1.19;	1/1.3.1A1(rev);	0.272295	0.777778	0.411765	0.3	0.266667	0.219512	0.225	0.261905	0.276596
R06543(r)/1.3.1A8(rev)/1.3.1.77;	1/1.3.1A1(rev);	0.270732	0.571429	0.361702	0.280899	0.273973	0.263636	0.262821	0.255435	0.260465
R06543(r)/1.3.1A8(rev)/1.3.1.77;	1/1.3.1A1(rev);	0.270732	0.571429	0.361702	0.280899	0.273973	0.263636	0.262821	0.255435	0.260465
R07483/1.3.1A2(rev)/1.3.1.70;	1/1.3.1A1(rev);	0.27037	0.777778	0.5	0.352941	0.311475	0.292929	0.282759	0.243523	0.221344
R02252/1.3.1A1/1.3.1.31;	1/1.3.1A1(rev);	0.270175	0.777778	0.466667	0.345455	0.27907	0.225806	0.214286	0.252874	0.26
R02252/1.3.1A1/1.3.1.31;	1/1.3.1A1(rev);	0.270175	0.777778	0.466667	0.345455	0.27907	0.225806	0.214286	0.252874	0.26
R06417(r)/1.3.1A2/1.3.1.82;	1/1.3.1A1(rev);	0.268966	1	0.517241	0.345455	0.266667	0.215385	0.209302	0.23913	0.268041
R00813/1.3.1A5/1.3.1.25;	1/1.3.1A1(rev);	0.267898	0.615385	0.432432	0.285714	0.244681	0.216	0.222222	0.261905	0.272251
R05313/1.3.1A1/1.3.1.66;	1/1.3.1A1(rev);	0.266436	0.777778	0.411765	0.290323	0.268817	0.21875	0.216867	0.255814	0.268041
R03930/1.3.1A2/1.3.1.17;	1/1.3.1A1(rev);	0.266015	1	0.555556	0.358491	0.288889	0.22963	0.217877	0.234694	0.235556
R05354/1.3.1A1/1.3.1.19;	1/1.3.1A1(rev);	0.264977	0.777778	0.411765	0.290323	0.255319	0.21875	0.216867	0.255814	0.268041
R05639(r)/1.3.1A2(rev)/1.3.1.70;	1/1.3.1A1(rev);	0.264493	0.777778	0.5	0.352941	0.311475	0.29	0.277027	0.236181	0.214559
R06419,R06420(r)/1.3.1A2/1.3.1.81;	1/1.3.1A1(rev);	0.264472	1	0.483871	0.333333	0.26087	0.2	0.209302	0.23913	0.268041
R05397/1.3.1A1/;	1/1.3.1A1(rev);	0.262916	0.777778	0.411765	0.290323	0.25	0.209302	0.214286	0.252874	0.273684
R01505/1.3.1A1/1.3.1.28;	1/1.3.1A1(rev);	0.262332	0.777778	0.411765	0.301587	0.257732	0.218045	0.216374	0.25	0.26
R03709/1.3.1A1/1.3.1.11;	1/1.3.1A1(rev);	0.262202	0.777778	0.466667	0.333333	0.266667	0.21875	0.206897	0.241758	0.257426
R01869/1.3.1A1/1.3.1.14;	1/1.3.1A1(rev);	0.261959	1	0.517241	0.345455	0.244444	0.19697	0.204545	0.244444	0.26
R01866/1.3.1A2/1.3.1.15;	1/1.3.1A1(rev);	0.261959	1	0.517241	0.345455	0.244444	0.19697	0.204545	0.244444	0.26
R05292/1.3.1A5/1.3.1.67;	1/1.3.1A1(rev);	0.261402	0.615385	0.410256	0.287879	0.247423	0.215385	0.209302	0.247191	0.272251
R05293/1.3.1A6/1.3.1.67;	1/1.3.1A1(rev);	0.261402	0.615385	0.410256	0.287879	0.247423	0.215385	0.209302	0.247191	0.272251
R05314/1.3.1A5/1.3.1.68;	1/1.3.1A1(rev);	0.260579	0.615385	0.410256	0.287879	0.227723	0.212121	0.216867	0.252874	0.268041
R05309/1.3.1A5/;	1/1.3.1A1(rev);	0.26	0.615385	0.410256	0.287879	0.23	0.21374	0.214286	0.251429	0.266667
R03709/1.3.1A1/1.3.1.11;	1/1.3.1A1(rev);	0.259843	0.777778	0.4375	0.322034	0.26087	0.215385	0.206897	0.241758	0.257426
R10075/1.3.1A2/1.3.1.92;	1/1.3.1A1(rev);	0.259259	1	0.6	0.404255	0.283951	0.213115	0.209302	0.22	0.22807
R07703/1.3.1A1/1.3.1.19;	1/1.3.1A1(rev);	0.258526	0.777778	0.4375	0.301587	0.265306	0.208633	0.206704	0.247191	0.257426
R05243/1.3.1A7/;	1/1.3.1A1(rev);	0.257593	0.571429	0.368421	0.261538	0.242105	0.209302	0.209302	0.252874	0.276596
R05243/1.3.1A7/;	1/1.3.1A1(rev);	0.257593	0.571429	0.368421	0.261538	0.242105	0.209302	0.209302	0.252874	0.276596
R08112/1.3.1A5/1.3.1.25;	1/1.3.1A1(rev);	0.257206	0.615385	0.410256	0.268657	0.234694	0.204545	0.209302	0.251429	0.26943
R03401/1.3.1A2/1.3.1.42;	1/1.3.1A1(rev);	0.256326	1	0.555556	0.358491	0.266667	0.2	0.206897	0.229167	0.234234
R06784/1.3.1A1/1.3.1.87;	1/1.3.1A1(rev);	0.255249	0.777778	0.4375	0.310345	0.274725	0.215385	0.204545	0.231579	0.247619
R05641/1.3.1A2/1.3.1.71;	1/1.3.1A1(rev);	0.253829	0.777778	0.5	0.333333	0.301205	0.243697	0.214286	0.222222	0.211382
R09213/1.3.1A1/;	1/1.3.1A1(rev);	0.253304	0.777778	0.388889	0.272727	0.235294	0.205882	0.204545	0.241758	0.270833
R06832/1.3.1A1/;	1/1.3.1A1(rev);	0.251925	0.777778	0.388889	0.272727	0.235294	0.19708	0.204545	0.241758	0.270833
R04557/1.3.1A2/1.3.1.48;	1/1.3.1A1(rev);	0.251892	1	0.555556	0.372549	0.27907	0.209302	0.202247	0.215686	0.222222
R04556/1.3.1A1/1.3.1.48;	1/1.3.1A1(rev);	0.251892	1	0.555556	0.372549	0.27907	0.209302	0.202247	0.215686	0.222222
R03930/1.3.1A2/1.3.1.17;	1/1.3.1A1(rev);	0.251037	0.777778	0.466667	0.322034	0.265306	0.205479	0.204188	0.232323	0.241071
R03191/1.3.1A1/1.3.1.98;	1/1.3.1A1(rev);	0.250276	1	0.5	0.36	0.259259	0.220339	0.211765	0.217822	0.214876
R03192/1.3.1A2/1.3.1.98;	1/1.3.1A1(rev);	0.250276	1	0.5	0.36	0.259259	0.220339	0.211765	0.217822	0.214876
R01728/1.3.1A3/1.3.1.12;	1/1.3.1A1(rev);	0.249228	0.615385	0.432432	0.296875	0.268041	0.223022	0.197917	0.22	0.240741
R01730/1.3.1A4/1.3.1.13;	1/1.3.1A1(rev);	0.249228	0.615385	0.432432	0.296875	0.268041	0.223022	0.197917	0.22	0.240741
R01730/1.3.1A4/1.3.1.13;	1/1.3.1A1(rev);	0.249228	0.615385	0.432432	0.296875	0.268041	0.223022	0.197917	0.22	0.240741
R01728/1.3.1A3/1.3.1.12;	1/1.3.1A1(rev);	0.249228	0.615385	0.432432	0.296875	0.268041	0.223022	0.197917	0.22	0.240741
R06785/1.3.1A1/1.3.1.87;	1/1.3.1A1(rev);	0.24838	0.777778	0.411765	0.290323	0.25	0.205882	0.2	0.231579	0.247619
R11474(r)/1.3.1A2/;	1/1.3.1A1(rev);	0.24812	1	0.517241	0.345455	0.244444	0.206107	0.202247	0.217822	0.226087
R00732/1.3.1A3/1.3.1.43,1.3.1.79;	1/1.3.1A1(rev);	0.247942	0.615385	0.432432	0.296875	0.255102	0.223022	0.197917	0.22	0.240741
R00732/1.3.1A3/1.3.1.43,1.3.1.79;	1/1.3.1A1(rev);	0.247942	0.615385	0.432432	0.296875	0.255102	0.223022	0.197917	0.22	0.240741
R00733/1.3.1A4/1.3.1.78,1.3.1.79;	1/1.3.1A1(rev);	0.247942	0.615385	0.432432	0.296875	0.255102	0.223022	0.197917	0.22	0.240741
R00733/1.3.1A4/1.3.1.78,1.3.1.79;	1/1.3.1A1(rev);	0.247942	0.615385	0.432432	0.296875	0.255102	0.223022	0.197917	0.22	0.240741
R01633/1.3.1A5/1.3.1.53;	1/1.3.1A1(rev);	0.247156	0.615385	0.410256	0.289855	0.240385	0.211679	0.202186	0.222222	0.246445
R09132/1.3.1A1/;	1/1.3.1A1(rev);	0.242328	0.777778	0.388889	0.264706	0.222222	0.186207	0.195652	0.231579	0.265306
R09133/1.3.1A2/;	1/1.3.1A1(rev);	0.242328	0.777778	0.388889	0.264706	0.222222	0.186207	0.195652	0.231579	0.265306
R05150(r)/1.3.1A2(rev)/1.3.1.54;	1/1.3.1A1(rev);	0.242105	0.777778	0.454545	0.323944	0.307087	0.29	0.261146	0.213636	0.186047
R05812/1.3.1A1(rev)/1.3.1.106;	1/1.3.1A1(rev);	0.235834	0.777778	0.454545	0.323944	0.302326	0.284314	0.25625	0.207048	0.179487
R05275/1.3.1A1/1.3.1.64;	1/1.3.1A1(rev);	0.235412	0.777778	0.411765	0.292308	0.238095	0.192053	0.182266	0.213592	0.245283
R05240/1.3.1A1/1.3.1.58;	1/1.3.1A1(rev);	0.234765	0.777778	0.411765	0.272727	0.245283	0.2	0.193717	0.213592	0.226087
R09228/1.3.1A1/;	1/1.3.1A1(rev);	0.233533	0.777778	0.388889	0.267606	0.225225	0.187097	0.18593	0.222222	0.242991
R04910(r)/1.3.1A2/;	1/1.3.1A1(rev);	0.233301	0.777778	0.4375	0.311475	0.247525	0.219178	0.2	0.198238	0.209677
