reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R04725(r)/1.3.1A2(rev)/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.80212	1	0.909091	0.789474	0.724138	0.74359	0.803922	0.810345	0.823529
R04966(r)/1.3.1A1(rev)/1.3.1.9;	1/1.3.1A1(rev);	0.80212	1	0.909091	0.789474	0.724138	0.74359	0.803922	0.810345	0.823529
R10122/1.3.1A2(rev)/1.3.1.10;	1/1.3.1A1(rev);	0.796491	1	0.909091	0.789474	0.724138	0.74359	0.788462	0.79661	0.823529
R02544(r)/1.3.1A1(rev)/1.3.1.7;	1/1.3.1A1(rev);	0.77972	1	0.642857	0.52	0.571429	0.707317	0.836735	0.903846	0.903226
R09224/1.3.1A1(rev)/1.3.1.32;	1/1.3.1A1(rev);	0.771626	1	0.75	0.619048	0.666667	0.707317	0.773585	0.810345	0.848485
R02989(r)/1.3.1A2(rev)/1.3.1.32;	1/1.3.1A1(rev);	0.768966	1	0.75	0.590909	0.625	0.690476	0.788462	0.839286	0.848485
R02988(r)/1.3.1A1(rev)/1.3.1.32;	1/1.3.1A1(rev);	0.768966	1	0.75	0.590909	0.625	0.690476	0.788462	0.839286	0.848485
R00977(r)/1.3.1A1(rev)/1.3.1.1;	1/1.3.1A1(rev);	0.763699	1	0.75	0.619048	0.606061	0.659091	0.745455	0.824561	0.903226
R00978(r)/1.3.1A2(rev)/1.3.1.2;	1/1.3.1A1(rev);	0.763699	1	0.75	0.619048	0.606061	0.659091	0.745455	0.824561	0.903226
R02252(r)/1.3.1A1(rev)/1.3.1.31;	1/1.3.1A1(rev);	0.745819	1	0.75	0.619048	0.666667	0.707317	0.745455	0.758065	0.8
R10593(r)/1.3.1A2(rev)/1.3.1.105;	1/1.3.1A1(rev);	0.738411	1	0.75	0.565217	0.540541	0.591837	0.732143	0.854545	0.903226
R03709(r)/1.3.1A1(rev)/1.3.1.11;	1/1.3.1A1(rev);	0.731148	1	0.75	0.619048	0.645161	0.690476	0.732143	0.734375	0.788732
R00814(r)/1.3.1A2(rev)/1.3.1.20;	1/1.3.1A1(rev);	0.727575	0.777778	0.533333	0.48	0.542857	0.674419	0.745455	0.839286	0.888889
R00812(r)/1.3.1A1(rev)/1.3.1.19;	1/1.3.1A1(rev);	0.727575	0.777778	0.533333	0.48	0.542857	0.674419	0.745455	0.839286	0.888889
R11026(r)/1.3.1A1(rev)/1.3.1.1;	1/1.3.1A1(rev);	0.726384	1	0.692308	0.565217	0.555556	0.630435	0.694915	0.79661	0.888889
R01414(r)/1.3.1A1(rev)/1.3.1.1;	1/1.3.1A1(rev);	0.726384	1	0.692308	0.565217	0.555556	0.630435	0.694915	0.79661	0.888889
R01415(r)/1.3.1A2(rev)/1.3.1.2;	1/1.3.1A1(rev);	0.726384	1	0.692308	0.565217	0.555556	0.630435	0.694915	0.79661	0.888889
R08226/1.3.1A2(rev)/1.3.1.2;	1/1.3.1A1(rev);	0.726384	1	0.692308	0.565217	0.555556	0.630435	0.694915	0.79661	0.888889
R06857(r)/1.3.1A1(rev)/1.3.1.19;	1/1.3.1A1(rev);	0.697452	0.777778	0.533333	0.461538	0.5	0.630435	0.719298	0.79661	0.875
R04088(r)/1.3.1A1(rev)/1.3.1.19;	1/1.3.1A1(rev);	0.693038	0.777778	0.5	0.444444	0.5	0.630435	0.719298	0.79661	0.875
R08105(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.693038	0.777778	0.5	0.444444	0.513514	0.630435	0.694915	0.79661	0.888889
R02252(r)/1.3.1A1(rev)/1.3.1.31;	1/1.3.1A1(rev);	0.681115	0.777778	0.571429	0.510204	0.549296	0.617021	0.672131	0.758065	0.8
R00813(r)/1.3.1A5(rev)/1.3.1.25;	1/1.3.1A1(rev);	0.678899	0.615385	0.514286	0.446429	0.5	0.617021	0.706897	0.79661	0.854962
R06417/1.3.1A2(rev)/1.3.1.82;	1/1.3.1A1(rev);	0.677812	1	0.692308	0.541667	0.540541	0.58	0.650794	0.701493	0.835821
R01866(r)/1.3.1A2(rev)/1.3.1.15;	1/1.3.1A1(rev);	0.673716	1	0.692308	0.541667	0.555556	0.58	0.630769	0.723077	0.8
R01869(r)/1.3.1A1(rev)/1.3.1.14;	1/1.3.1A1(rev);	0.673716	1	0.692308	0.541667	0.555556	0.58	0.630769	0.723077	0.8
R06419,R06420/1.3.1A2(rev)/1.3.1.81;	1/1.3.1A1(rev);	0.667665	1	0.642857	0.52	0.526316	0.557692	0.650794	0.701493	0.835821
R05313(r)/1.3.1A1(rev)/1.3.1.66;	1/1.3.1A1(rev);	0.663636	0.777778	0.5	0.428571	0.475	0.591837	0.683333	0.770492	0.835821
R05354(r)/1.3.1A1(rev)/1.3.1.19;	1/1.3.1A1(rev);	0.663636	0.777778	0.5	0.428571	0.475	0.591837	0.683333	0.770492	0.835821
R05397(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.661631	0.777778	0.5	0.428571	0.463415	0.591837	0.672131	0.758065	0.861538
R10075(r)/1.3.1A2(rev)/1.3.1.92;	1/1.3.1A1(rev);	0.659763	1	0.818182	0.65	0.625	0.644444	0.650794	0.626667	0.666667
R03709(r)/1.3.1A1(rev)/1.3.1.11;	1/1.3.1A1(rev);	0.654762	0.777778	0.571429	0.490196	0.52	0.591837	0.640625	0.712121	0.788732
R05243(r)/1.3.1A7(rev)/;	1/1.3.1A1(rev);	0.648968	0.571429	0.444444	0.413793	0.475	0.591837	0.650794	0.758065	0.875
R05243(r)/1.3.1A7(rev)/;	1/1.3.1A1(rev);	0.648968	0.571429	0.444444	0.413793	0.475	0.591837	0.650794	0.758065	0.875
R03191(r)/1.3.1A1(rev)/1.3.1.98;	1/1.3.1A1(rev);	0.648256	1	0.75	0.619048	0.645161	0.674419	0.66129	0.618421	0.615385
R03192(r)/1.3.1A2(rev)/1.3.1.98;	1/1.3.1A1(rev);	0.648256	1	0.75	0.619048	0.645161	0.674419	0.66129	0.618421	0.615385
R05314(r)/1.3.1A5(rev)/1.3.1.68;	1/1.3.1A1(rev);	0.645349	0.615385	0.486486	0.416667	0.458824	0.568627	0.683333	0.758065	0.835821
R05309(r)/1.3.1A5(rev)/;	1/1.3.1A1(rev);	0.643478	0.615385	0.486486	0.416667	0.464286	0.574257	0.672131	0.752	0.82963
R05293(r)/1.3.1A6(rev)/1.3.1.67;	1/1.3.1A1(rev);	0.643478	0.615385	0.486486	0.416667	0.47561	0.58	0.650794	0.734375	0.854962
R08112(r)/1.3.1A5(rev)/1.3.1.25;	1/1.3.1A1(rev);	0.643478	0.615385	0.486486	0.416667	0.47561	0.574257	0.650794	0.752	0.842105
R05292(r)/1.3.1A5(rev)/1.3.1.67;	1/1.3.1A1(rev);	0.643478	0.615385	0.486486	0.416667	0.47561	0.58	0.650794	0.734375	0.854962
R07703(r)/1.3.1A1(rev)/1.3.1.19;	1/1.3.1A1(rev);	0.642651	1	0.642857	0.481481	0.487805	0.527273	0.61194	0.734375	0.788732
R01505(r)/1.3.1A1(rev)/1.3.1.28;	1/1.3.1A1(rev);	0.641399	0.777778	0.5	0.438596	0.46988	0.557692	0.650794	0.746032	0.8
R03401(r)/1.3.1A2(rev)/1.3.1.42;	1/1.3.1A1(rev);	0.640805	1	0.75	0.565217	0.540541	0.557692	0.640625	0.661972	0.691358
R06832(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.631124	0.777778	0.5	0.413793	0.44186	0.54717	0.630769	0.712121	0.848485
R04557(r)/1.3.1A2(rev)/1.3.1.48;	1/1.3.1A1(rev);	0.626405	1	0.75	0.590909	0.571429	0.591837	0.621212	0.61039	0.643678
R04556(r)/1.3.1A1(rev)/1.3.1.48;	1/1.3.1A1(rev);	0.626405	1	0.75	0.590909	0.571429	0.591837	0.621212	0.61039	0.643678
R09213(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.625714	0.777778	0.470588	0.4	0.431818	0.54717	0.630769	0.712121	0.848485
R11474/1.3.1A2(rev)/;	1/1.3.1A1(rev);	0.622905	1	0.692308	0.541667	0.555556	0.58	0.621212	0.618421	0.658824
R03930(r)/1.3.1A2(rev)/1.3.1.17;	1/1.3.1A1(rev);	0.619444	1	0.75	0.565217	0.526316	0.537037	0.602941	0.635135	0.674699
R05641(r)/1.3.1A2(rev)/1.3.1.71;	1/1.3.1A1(rev);	0.618644	0.777778	0.615385	0.5	0.542857	0.644444	0.672131	0.635135	0.602151
R06784(r)/1.3.1A1(rev)/1.3.1.87;	1/1.3.1A1(rev);	0.610028	0.777778	0.5	0.428571	0.463415	0.54717	0.61194	0.671429	0.746667
R06785(r)/1.3.1A1(rev)/1.3.1.87;	1/1.3.1A1(rev);	0.610028	0.777778	0.5	0.428571	0.463415	0.54717	0.61194	0.671429	0.746667
R09133(r)/1.3.1A2(rev)/;	1/1.3.1A1(rev);	0.595109	0.777778	0.470588	0.387097	0.404255	0.508772	0.594203	0.671429	0.823529
R09132(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.595109	0.777778	0.470588	0.387097	0.404255	0.508772	0.594203	0.671429	0.823529
R01633(r)/1.3.1A5(rev)/1.3.1.53;	1/1.3.1A1(rev);	0.582677	0.615385	0.486486	0.390625	0.433333	0.537037	0.594203	0.635135	0.741722
R01728(r)/1.3.1A3(rev)/1.3.1.12;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R01728(r)/1.3.1A3(rev)/1.3.1.12;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R01730(r)/1.3.1A4(rev)/1.3.1.13;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R01730(r)/1.3.1A4(rev)/1.3.1.13;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R00732(r)/1.3.1A3(rev)/1.3.1.43,1.3.1.79;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R00733(r)/1.3.1A4(rev)/1.3.1.78,1.3.1.79;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R00732(r)/1.3.1A3(rev)/1.3.1.43,1.3.1.79;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
