
Log for 'fba' Clone_2 (V12.10.0.0) Wed Nov 19 10:35:33 2025

Tried aggregator 1 time.
LP Presolve eliminated 742 rows and 990 columns.
Aggregator did 273 substitutions.
Reduced LP has 1157 rows, 14010 columns, and 60184 nonzeros.
Presolve time = 0.02 sec. (19.55 ticks)

Iteration log . . .
Iteration: 14701    Infeasibility =          5518.532705
Iteration: 14811    Infeasibility =          4977.287341
Iteration: 14909    Infeasibility =          4430.312146
Iteration: 15021    Infeasibility =          3521.289615
Iteration: 15119    Infeasibility =          3187.454254
Iteration: 15223    Infeasibility =          2725.813294
Iteration: 15331    Infeasibility =          2511.610693
Iteration: 15439    Infeasibility =          2175.728976
Iteration: 15549    Infeasibility =          1893.718112
Iteration: 15653    Infeasibility =          1691.802082
Iteration: 15766    Infeasibility =          1428.846340
Iteration: 15890    Infeasibility =          1280.301888
Iteration: 16004    Infeasibility =          1188.497283
Iteration: 16111    Infeasibility =           992.490559
Iteration: 16211    Infeasibility =           758.077820
Iteration: 16313    Infeasibility =           575.159118
Iteration: 16412    Infeasibility =           420.394053
Iteration: 16520    Infeasibility =           203.418576
Iteration: 16625    Infeasibility =            94.529504
Iteration: 16725    Infeasibility =            68.934876
Iteration: 16824    Infeasibility =            66.074162
Iteration: 16929    Infeasibility =            59.626051
Iteration: 17045    Infeasibility =            54.441177
Iteration: 17162    Infeasibility =            52.231195
Iteration: 17271    Infeasibility =            49.406395
Iteration: 17373    Infeasibility =            47.920977
Iteration: 17479    Infeasibility =            44.096543
Iteration: 17579    Infeasibility =            40.632425
Iteration: 17685    Infeasibility =            37.288289
Iteration: 17787    Infeasibility =            34.926124
Iteration: 17890    Infeasibility =            32.113428
Iteration: 17998    Infeasibility =            28.590098
Iteration: 18101    Infeasibility =            26.356180
Iteration: 18201    Infeasibility =            23.785891
Iteration: 18301    Infeasibility =            20.431793
Iteration: 18402    Infeasibility =            17.620653
Iteration: 18508    Infeasibility =            14.545195
Iteration: 18610    Infeasibility =            11.847294
Iteration: 18709    Infeasibility =             8.822487
Iteration: 18812    Infeasibility =             5.373992
Iteration: 18911    Infeasibility =             2.588697
Iteration: 19022    Infeasibility =             0.154393
Iteration: 19038    Objective     =             0.000000
Iteration: 19130    Objective     =            -0.000000
Iteration: 19229    Objective     =            -1.724548
Iteration: 19329    Objective     =            -4.588187
Iteration: 19425    Objective     =            -6.945123
Iteration: 19527    Objective     =            -9.511732
Iteration: 19623    Objective     =           -13.277924
Iteration: 19726    Objective     =           -15.101018
Iteration: 19831    Objective     =           -17.677573
Iteration: 19931    Objective     =           -18.963811
Iteration: 20028    Objective     =           -21.764671
Iteration: 20125    Objective     =           -23.833324
Iteration: 20221    Objective     =           -26.054436
Iteration: 20324    Objective     =           -28.678353
Iteration: 20431    Objective     =           -30.821554
Iteration: 20528    Objective     =           -33.835679
Iteration: 20628    Objective     =           -35.774805
Iteration: 20728    Objective     =           -37.741128
Iteration: 20827    Objective     =           -40.201411
Iteration: 20926    Objective     =           -42.107424
Iteration: 21023    Objective     =           -44.319631
Iteration: 21127    Objective     =           -46.672705
Iteration: 21231    Objective     =           -49.503774

Barrier solved model.

