Genes	Gene
b4039	ubiC
b1200	dhaK
b2415	ptsH
b1199	dhaL
b2416	ptsI
b1198	dhaM
b0171	pyrH
b4477	dgoA
b2498	upp
b2780	pyrG
b0087	mraY
b0090	murG
b3946	fsaB
b0825	fsaA
b3619	rfaD
b4267	idnD
b1033	ghrA
b3957	argE
b1623	add
b3665	adeD
b4177	purA
b0677	nagA
b1767	ansA
b0828	iaaA
b3744	asnA
b0674	asnB
b4244	pyrI
b4245	pyrB
b0029	ispH
b1092	fabD
b3809	dapF
b0031	dapB
b0003	thrB
b1748	astC
b3359	argD
b0004	thrC
b4013	metA
b2601	aroF
b0754	aroG
b1704	aroH
b2700	pncC
b1768	pncA
b1014	putA
b1584	speG
b3790	rffC
b4014	aceB
b2976	glcB
b1897	otsB
b3034	nudF
b3397	nudE
b0062	araA
b3600	mtlD
b3608	gpsA
b4119	melA
b2802	fucI
b2803	fucK
b2800	fucA
b2738	ygbL
b0335	prpE
b1236	galU
b0179	lpxD
b0085	murE
b0091	murC
b0088	murD
b0505	allA
b0350	mhpD
b0352	mhpE
b0347	mhpA
b0726	sucA
b0727	sucB
b3945	gldA
b0131	panD
b0086	murF
b0096	lpxC
b0181	lpxA
b2019	hisG
b2020	hisD
b2022	hisB
b1207	prs
b2026	hisI
b2024	hisA
b3607	cysE
b2421	cysM
b2414	cysK
b4214	cysQ
b2762	cysH
b4024	lysC
b0002	thrA
b3940	metL
b3433	asd
b2838	lysA
b2942	metK
b4192	ulaG
b1993	cobU
b1992	cobS
b0417	thiL
b0348	mhpB
b0349	mhpC
b3124	garK
b0583	entD
b0732	mngB
b0517	allD
b0521	ybcF
b3223	nanE
b2428	murQ
b0651	rihA
b2162	rihB
b0522	purK
b1779	gapA
b2388	glk
b2029	gnd
b0368	tauD
b2463	maeB
b3960	argH
b0033	carB
b0032	carA
b0242	proB
b0074	leuA
b1091	fabH
b3908	sodA
b1656	sodB
b0159	mtn
b1106	thiK
b1759	nudG
b2251	nudI
b0905	ycaO
b3248	yhdE
b0386	proC
b2521	sseA
b2668	ygaP
b3425	glpE
b2053	gmd
b2920	scpC
b2143	cdd
b0778	bioD
b2065	dcd
b2478	dapA
b0337	codA
b3729	glmS
b2688	gshA
b0485	glsA
b1524	glsB
b2312	purF
b0104	guaC
b1740	nadE
b3366	nirD
b3365	nirB
b0273	argF
b4254	argI
b2500	purN
b3449	ugpQ
b0331	prpB
b2210	mqo
b1746	astD
b0052	pdxA
b2564	pdxJ
b0369	hemB
b4005	purD
b2557	purL
b2440	eutC
b2441	eutB
b2049	cpsB
b3806	cyaA
b2533	suhB
b0333	prpC
b4161	rsgA
b3590	selB
b2918	argK
b2727	hypB
b2173	yeiR
b4352	yjiA
b4173	hflX
b1852	zwf
b0134	panB
b2028	ugd
b2788	gudX
b2787	gudD
b3791	wecE
b3787	wecC
b1415	aldA
b1493	gadB
b3517	gadA
b3551	bisC
b2750	cysC
b1622	malY
b3939	metB
b2661	gabD
b0241	phoE
b0929	ompF
b1377	ompN
b2215	ompC
b0411	tsx
b0957	ompA
b1319	ompG
b3875	ompL
b1701	fadK
b1805	fadD
b1646	sodC
b2206	napA
b2203	napB
b2204	napH
b2205	napG
b2202	napC
b0980	appA
b0383	phoA
b1465	narV
b1226	narJ
b1466	narW
b1224	narG
b1468	narZ
b1227	narI
b1467	narY
b1225	narH
b1602	pntB
b1603	pntA
b0997	torA
b1873	torY
b1872	torZ
b0996	torC
b2342	fadI
b3845	fadA
b4388	serB
b3528	dctA
b0010	satP
b4138	dcuA
b4123	dcuB
b0621	dcuC
b2417	crr
b2429	murP
b2422	cysA
b2425	cysP
b0763	modA
b3917	sbp
b0764	modB
b2423	cysW
b0765	modC
b2424	cysU
b3063	ttdT
b2913	serA
b0367	tauC
b0365	tauA
b0366	tauB
b2393	nupC
b2964	nupG
b3849	trkH
b3747	kup
b3290	trkA
b1291	sapD
b1363	trkG
b1250	kch
b2587	kgtP
b4031	xylE
b0068	thiB
b0067	thiP
b0066	thiQ
b2406	xapB
b3460	livJ
b3456	livM
b3455	livG
b3454	livF
b3457	livH
b4240	treB
b3161	mtr
b0112	aroP
b3709	tnaB
b1907	tyrP
b3566	xylF
b3567	xylG
b3568	xylH
b3578	yiaN
b3579	yiaO
b3577	yiaM
b3089	sstT
b2153	folE
b0935	ssuD
b0153	fhuB
b0152	fhuD
b0151	fhuC
b1711	btuC
b1709	btuD
b0158	btuF
b2223	atoE
b1101	ptsG
b0679	nagE
b1818	manY
b1817	manX
b1819	manZ
b3224	nanT
b0311	betA
b4381	deoC
b0590	fepD
b0588	fepC
b0592	fepB
b0589	fepG
b2841	araE
b2308	hisQ
b2310	argT
b0862	artQ
b0863	artI
b0864	artP
b0860	artJ
b2306	hisP
b0861	artM
b2307	hisM
b4115	adiC
b4193	ulaA
b4194	ulaB
b4195	ulaC
b1453	ansP
b0653	gltK
b0655	gltI
b0654	gltJ
b0652	gltL
b4077	gltP
b4055	aphA
b0480	ushA
b2789	gudP
b3127	garP
b2943	galP
b2663	gabP
b1917	tcyN
b1920	tcyJ
b1918	tcyL
b2703	srlE
b2702	srlA
b2704	srlB
b1197	treA
b4515	cydX
b0733	cydA
b0978	appC
b0734	cydB
b0979	appB
b3739	atpI
b3731	atpC
b3736	atpF
b3732	atpD
b3738	atpB
b3733	atpG
b3737	atpE
b3735	atpH
b3734	atpA
b4067	actP
b3654	xanP
b3714	adeP
b3664	adeQ
b4088	alsB
b4087	alsA
b4086	alsC
b0511	ybbW
b1900	araG
b4460	araH
b1901	araF
b0837	yliI
b0124	gcd
b4064	ghxP
b4464	ghxQ
b0974	hyaC
b2997	hybO
b0973	hyaB
b2995	hybB
b2994	hybC
b0972	hyaA
b2996	hybA
b4287	fecE
b4289	fecC
b4288	fecD
b4290	fecB
b1252	tonB
b3006	exbB
b3005	exbD
b1102	fhuE
b2315	folC
b0612	citT
b0040	caiT
b2130	yehY
b2131	osmF
b2128	yehW
b2129	yehX
b3409	feoB
b2169	fruB
b2167	fruA
b2801	fucP
b0584	fepA
b0336	codB
b0341	cynX
b3909	kdgT
b4036	lamB
b4291	fecA
b1119	nagK
b3829	metE
b4019	metH
b0886	cydC
b0887	cydD
b2476	purC
b0509	glxR
b3125	garR
b2501	ppk
b3941	metF
b2574	nadB
b3177	folP
b0529	folD
b4132	cadB
b0750	nadA
b0306	ykgE
b0307	ykgF
b3605	lldD
b0308	ykgG
b2492	focB
b0904	focA
b3631	waaG
b0914	msbA
b1300	puuC
b1967	hchA
b0933	ssuB
b0934	ssuC
b0936	ssuA
b2032	wbbK
b2027	wzzB
b2035	wbbH
b3622	waaL
b0459	maa
b0585	fes
b1326	mpaA
b1325	ycjG
b0591	entS
b3035	tolC
b0692	potE
b2014	plaP
b1296	puuP
b1298	puuD
b3374	frlD
b1308	pspE
b2197	ccmE
b2198	ccmD
b2201	ccmA
b2200	ccmB
b2199	ccmC
b0622	pagP
b3785	wzzE
b3793	wzyE
b2552	hmp
b0756	galM
b0484	copA
b3469	zntA
b3626	waaJ
b3623	waaU
b2257	arnT
b2711	norW
b2710	norV
b4111	proP
b1386	tynA
b4071	nrfB
b4073	nrfD
b4072	nrfC
b4070	nrfA
b3679	yidK
b0110	ampD
b1463	nhoA
b4219	msrA
b1832	msrC
b1778	msrB
b2871	ygeX
b0932	pepN
b2523	pepB
b4260	pepA
b0237	pepD
b2132	bglX
b2239	glpQ
b4169	amiB
b2435	amiA
b2817	amiC
b0867	amiD
b1654	grxD
b3610	grxC
b2675	nrdE
b2676	nrdF
b0849	grxA
b1064	grxB
b3336	bfr
b0123	cueO
b1192	ldcA
b1270	btuR
b2180	yejF
b2179	yejE
b1246	oppD
b1243	oppA
b1244	oppB
b1247	oppF
b2177	yejA
b2178	yejB
b1329	mppA
b1245	oppC
b0433	ampG
b4367	fhuF
b0574	cusB
b0573	cusF
b0575	cusA
b0572	cusC
b3915	fieF
b0752	zitB
b1858	znuC
b1859	znuB
b1857	znuA
b1981	shiA
b2392	mntH
b0452	tesB
b1927	amyA
b3571	malS
b3650	spoT
b2344	fadL
b4213	cpdB
b1059	solA
b1727	hxpB
b3580	lyxK
b2051	gmm
b4265	idnT
b3266	acrF
b3265	acrE
b3907	rhaT
b4242	mgtA
b3479	nikD
b3477	nikB
b3476	nikA
b3480	nikE
b3478	nikC
b4094	phnN
b4513	kdpF
b0696	kdpC
b0698	kdpA
b0697	kdpB
b3458	livK
b2975	glcA
b3603	lldP
b4034	malE
b4035	malK
b4032	malG
b4033	malF
